id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
1,0.1,0.071428571,0.166666667,0.158995816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.090909091,0.180124224,0,0,0,0,0.923076923,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
2,0.15,0.071428571,0.222222222,0.217573222,0,0,0,0,0,0,0,0,0,0.022727273,1,1,0,0,0,0.209090909,0.186335404,0,0,0,0,0.090909091,1,1,1,0,0,0,0.818181818,1,0,0,0,0,0,0,0,1,0.5,0,1,0,0,1
3,0,0,0.277777778,0.267782427,0.109090909,0,0,0,0,0,0,0,0,0.090909091,1,1,0,0,0,0.1,0.335403727,0,0,0,0,0.092783505,0.461538462,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,1,0
4,0.1,0.142857143,0.222222222,0.40167364,0.090909091,0.444444444,0,0,0,0,0,0,0,0.272727273,1,1,0,1,1,0.472727273,0.279503106,0,0,0,0,0.055555556,0.090909091,0,1,1,0,0,0.944444444,0,0,1,0,0,1,0,0,0.5,0,1,1,1,0,1
5,0.35,0,0.388888889,0.343096234,0,0,0,0,0.0625,0,0,0,0,0.011363636,1,0,0,0,1,0.127272727,0.428571429,0,0,0,0,0.866666667,0.105263158,0,1,0,0,0,0.133333333,0,0,1,0,1,0,0,0,1,0,1,1,0.5,0,1
6,0.05,0.071428571,0,0.10460251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.227272727,0.00621118,0,0,0,0,0.321428571,0.116666667,0,1,1,1,0,0.035714286,0,0,0,0,0,0,0,1,1,1,1,0.5,1,0.5,0
7,0.15,0,0.166666667,0.761506276,0,0,0,0,0.1875,0,0.526315789,0.571428571,0,0.636363636,1,0,1,0,0,0.063636364,0.136645963,0.813829787,0,0.333333333,0,0.375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0.5,0.5,1
8,0.1,0.071428571,0.388888889,0.380753138,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.145454545,0.472049689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
9,0,0,0.111111111,0.112970711,0.018181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.127272727,0.086956522,0,0,0,0,0.462686567,0.95,1,0,0,1,0,0.014925373,0,0,0,0,0,1,0,0,1,1,0,0.5,0.5,0.5,0
10,0.1,0.071428571,0.222222222,0.150627615,0,0,0,0,0,0,0,0,0,0.102272727,1,1,0,0,0,0.1,0.161490683,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
