id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,
8001,0.05,0.071428571,0,0.288702929,0.018181818,0,0,0,0,0.105263158,0.052631579,0,0,0.022727273,1,0,0,0,0,0,0.136363636,0.00621118,0.281914894,0,0,0,0.190476191,0.055555556,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
8002,0.05,0.071428571,0.111111111,0.146443515,0.018181818,0.111111111,0,0,0,0,0,0,0,0.056818182,1,1,0,0,0,0,0.245454545,0.055900621,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0
8003,0,0,0.222222222,0.313807531,0.127272727,0,0,0,0,0,0,0,0,0.056818182,1,1,0,0,0,0,0.063636364,0.428571429,0,0,0,0,0.092783505,0.267605634,0,1,0,0,0,0.020618557,0,0,0,0,0,1,0,0,1,0,0.5,1,0.5,1
8004,0.05,0.071428571,0.222222222,0.142259414,0,0,0,0,0,0,0,0,0,0.045454545,1,1,0,0,0,0,0.154545455,0.111801242,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
8005,0.1,0.071428571,0.111111111,0.129707113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.109090909,0.124223602,0,0,0,0,1,0.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.5,1,0,0
8006,0.05,0.071428571,0.166666667,0.108786611,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.127272727,0.080745342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
8007,0,0,0.333333333,0.255230126,0.072727273,0,0,0,0,0,0,0,0,0.102272727,1,1,0,0,1,0,0.181818182,0.260869565,0,0,0,0,0.112359551,0.314814815,1,1,0,0,0,0.02247191,0,0,0,0,0,1,0,0,1,0.5,0.5,1,0.5,1
8008,0.05,0.071428571,0.166666667,0.259414226,0.036363636,0,0,0,0,0,0.052631579,0,0,0.113636364,1,0,0,0,0,0,0.136363636,0.211180124,0.069148936,0,0,0,0,0.148148148,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,1
8009,0.1,0.071428571,0.222222222,0.447698745,0.181818182,0,0,0,0,0,0,0,0,0.068181818,1,1,0,0,1,0,0.145454545,0.571428571,0,0,0,0,0.463157895,0.615384615,0,1,0,1,0,0.021052632,0,0,0,0,1,0,0,0,1,0,0.5,0.5,0.5,0.5
8010,0,0,0.055555556,0.058577406,0,0,0,0,0.0625,0,0,0,0,0.056818182,1,0,0,0,0,0,0.036363636,0.068322981,0,0,0,0,0.003070624,0.139534884,0,1,0,0,0,0.001023542,0,0,0,0,1,0,0,0,1,1,1,1,0.5,1
8011,0.1,0.071428571,0.222222222,0.20083682,0.036363636,0.111111111,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.136363636,0.211180124,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0.5,0,0.5,0,0
8012,0.15,0,0.166666667,0.276150628,0,0,0,0,0.0625,0,0.263157895,0.357142857,0,0.125,1,0,1,0,0,0,0.063636364,0.136645963,0.196808511,0,0,0,0.375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0.5,0.5
8013,0,0,0.277777778,0.234309623,0.109090909,0,0,0,0,0,0,0,0,0.090909091,1,1,0,0,1,0,0.081818182,0.298136646,0,0,0,0,0.311926606,0.08,0,1,0,0,0,0.004587156,0,0,0,0,0,1,0,0,1,0.5,1,1,1,0.5
8014,0.2,0.071428571,0.111111111,0.192468619,0,0,0,0,0,0,0.052631579,0,0,0.056818182,1,0,0,0,1,0,0.136363636,0.105590062,0.074468085,0,0,0,0.102189781,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,1
8015,0.05,0.071428571,0.166666667,0.09623431,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.080745342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
8016,0.05,0,0.277777778,0.192468619,0.018181818,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.172727273,0.173913043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,1,1
8017,0.1,0.071428571,0.166666667,0.142259414,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.109090909,0.142857143,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
8018,0.05,0.071428571,0.333333333,0.347280335,0.127272727,0,0,0,0,0,0,0,0,0.079545455,1,1,0,0,0,0,0.136363636,0.428571429,0,0,0,0,0.15,0.384615385,0,1,0,0,0,0.3,0,0,0,0,0,1,0,0,1,0,1,1,0.5,0.5
8019,0.05,0.071428571,0.111111111,0.10460251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.190909091,0.031055901,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0
8020,0.15,0.071428571,0.111111111,0.163179916,0.036363636,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.081818182,0.192546584,0,0,0.333333333,1,0.933333333,1,0,1,0,0,0,0.066666667,1,0,0,0,0,0,0,0,1,1,0,1,0,0
8021,0.1,0.071428571,0.055555556,0.179916318,0,0,0,0,0,0,0.052631579,0,0,0.045454545,1,0,0,0,0,0,0.127272727,0.093167702,0.074468085,0,0,0,0.095238095,0.394736842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,1
8022,0.1,0.071428571,0.222222222,0.146443515,0,0,0,0,0,0,0,0,0,0.011363636,1,0,0,0,0,0,0.181818182,0.099378882,0,0,0,0,0.0234375,0.733333333,0,1,1,0,0,0.03125,0,0,0,0,0,1,0,0,1,1,0,1,0.5,1
8023,0.1,0.071428571,0.111111111,0.280334728,0.109090909,0,0,0,0,0,0,0,0,0.011363636,1,1,0,0,1,0,0.181818182,0.298136646,0,0,0,0,0.090909091,0.684210526,0,1,0,0,0,0.025974026,0,0,0,0,0,1,0,0,1,0,0,1,0.5,1
8024,0.05,0.071428571,0.166666667,0.10041841,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.109090909,0.080745342,0,0,0,0,0.102564103,0.111111111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,1
